16:14:19 [http-nio-8081-exec-2] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver -Resolved [org.springframework.web.context.request.async.AsyncRequestNotUsableException: ServletOutputStream failed to flush: java.nio.channels.ClosedChannelException]
16:14:30 [cluster-ClusterId{value='687b770e2988ba602d8f577a', description='Cluster0'}-ac-y7flgjr-shard-00-00.gn2xrw1.mongodb.net:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=ac-y7flgjr-shard-00-00.gn2xrw1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=306002500, setName='atlas-eoczhh-shard-0', canonicalAddress=ac-y7flgjr-shard-00-00.gn2xrw1.mongodb.net:27017, hosts=[ac-y7flgjr-shard-00-00.gn2xrw1.mongodb.net:27017, ac-y7flgjr-shard-00-02.gn2xrw1.mongodb.net:27017, ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=4, topologyVersion=TopologyVersion{processId=6879135418c257e4c4bf37f6, counter=4}, lastWriteDate=Sat Jul 19 16:14:20 IST 2025, lastUpdateTimeNanos=155071989751100}
16:14:30 [cluster-ClusterId{value='687b770e2988ba602d8f577a', description='Cluster0'}-ac-y7flgjr-shard-00-02.gn2xrw1.mongodb.net:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=ac-y7flgjr-shard-00-02.gn2xrw1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=298857800, setName='atlas-eoczhh-shard-0', canonicalAddress=ac-y7flgjr-shard-00-02.gn2xrw1.mongodb.net:27017, hosts=[ac-y7flgjr-shard-00-00.gn2xrw1.mongodb.net:27017, ac-y7flgjr-shard-00-02.gn2xrw1.mongodb.net:27017, ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=4, topologyVersion=TopologyVersion{processId=687918cfd1cb08e17a723834, counter=3}, lastWriteDate=Sat Jul 19 16:14:20 IST 2025, lastUpdateTimeNanos=155071989751100}
16:14:31 [cluster-ClusterId{value='687b770e2988ba602d8f577a', description='Cluster0'}-ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=446265600, setName='atlas-eoczhh-shard-0', canonicalAddress=ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017, hosts=[ac-y7flgjr-shard-00-00.gn2xrw1.mongodb.net:27017, ac-y7flgjr-shard-00-02.gn2xrw1.mongodb.net:27017, ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000006, setVersion=4, topologyVersion=TopologyVersion{processId=6879156bf4b40adc8d1a58aa, counter=6}, lastWriteDate=Sat Jul 19 16:14:20 IST 2025, lastUpdateTimeNanos=155072131614000}
16:14:31 [cluster-ClusterId{value='687b770e2988ba602d8f577a', description='Cluster0'}-ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017] INFO  org.mongodb.driver.cluster -Discovered replica set primary ac-y7flgjr-shard-00-01.gn2xrw1.mongodb.net:27017 with max election id 7fffffff0000000000000006 and max set version 4
16:14:31 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer -Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
16:14:32 [main] INFO  o.a.coyote.http11.Http11NioProtocol -Starting ProtocolHandler ["http-nio-8081"]
16:14:32 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port 8081 (http) with context path '/'
16:14:32 [main] INFO  c.p.Journal.JournalApplication -Started JournalApplication in 4.983 seconds (process running for 5.61)
16:14:36 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring DispatcherServlet 'dispatcherServlet'
16:14:36 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet -Initializing Servlet 'dispatcherServlet'
16:14:36 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet -Completed initialization in 1 ms
